start time,request type (ie POST),latency,response code
1606517539707,GET,27721,200
1606517567428,GET,22814,200
1606517590242,GET,20815,200
1606517373996,GET,20661,200
1606517394657,GET,21678,200
1606517416335,GET,23350,200
1606517439685,GET,23620,200
1606517463305,GET,22160,200
1606517485465,GET,26926,200
1606517512391,GET,24864,200
1606517537255,GET,24809,200
1606517562064,GET,27052,200
1606517589116,GET,21169,200
1606517374890,GET,22501,200
1606517397391,GET,24795,200
1606517422186,GET,22226,200
1606517444413,GET,27116,200
1606517471529,GET,24399,200
1606517495928,GET,24934,200
1606517520862,GET,26863,200
1606517547725,GET,24688,200
1606517572413,GET,25478,200
1606517597891,GET,19360,200
1606517391103,GET,24940,200
1606517416043,GET,22683,200
1606517438726,GET,24595,200
1606517463321,GET,22147,200
1606517485468,GET,27157,200
1606517512625,GET,25063,200
1606517537688,GET,24539,200
1606517562227,GET,26454,200
1606517588681,GET,21209,200
1606517609890,GET,13524,200
1606517317988,GET,22563,200
1606517340551,GET,24962,200
1606517365513,GET,27602,200
1606517393115,GET,22866,200
1606517415981,GET,22148,200
1606517438129,GET,24998,200
1606517463127,GET,21993,200
1606517485120,GET,24017,200
1606517509137,GET,26682,200
1606517535819,GET,25038,200
1606517353277,GET,25219,200
1606517378496,GET,23472,200
1606517401968,GET,25981,200
1606517427949,GET,23316,200
1606517451265,GET,27634,200
1606517478899,GET,25562,200
1606517504461,GET,22492,200
1606517526953,GET,25366,200
1606517552319,GET,24993,200
1606517577312,GET,25423,200
1606517352200,GET,24847,200
1606517377047,GET,23504,200
1606517400551,GET,22468,200
1606517423019,GET,24577,200
1606517447596,GET,24127,200
1606517471723,GET,25340,200
1606517497063,GET,27107,200
1606517524170,GET,23515,200
1606517547685,GET,24397,200
1606517572082,GET,25546,200
1606517380136,GET,22264,200
1606517402400,GET,26490,200
1606517428890,GET,22780,200
1606517451670,GET,27694,200
1606517479364,GET,25387,200
1606517504751,GET,22471,200
1606517527222,GET,26668,200
1606517553890,GET,25585,200
1606517579475,GET,23427,200
1606517602902,GET,16640,200
1606517388360,GET,26358,200
1606517414718,GET,23438,200
1606517438156,GET,25105,200
